title,writer,publication,callno,href
카메라(모듈)와 영상기반 응용시장 전망과 국내외 참여업체 사업전략,IRS Global,"서울 :IRS Global,2013",621.367 아이알카,https://library.cau.ac.kr/#/search/detail/6089739
지능형 영상감시장치[CCTV] 핵심기술/시장 전망과 국내외 참여업체 사업전략,IRS Global,"서울 :IRS Global,2013",621.38928 아이알지,https://library.cau.ac.kr/#/search/detail/6089735
"의료IT융합시장 사업실태와 전망 :유헬스, 원격진료, 디지털병원, 모바일헬스케어 사례와 사업전략",임팩트,"서울 :임팩트,2013",338.4761 임팩트의,https://library.cau.ac.kr/#/search/detail/6089732
(교사임용고시대비) 전공음악이론,유지연,"대구 :지북스 :와이에스디,2014(2015 2쇄)",780 유지연전 2014 v.1/2014 v.2,https://library.cau.ac.kr/#/search/detail/6089681
성도의 교제 :교회사회학에 대한 교의학적 연구,"Bonhoeffer, Dietrich","서울 :대한기독교서회,2010(2013 2쇄)",230.044 디트리 v.1,https://library.cau.ac.kr/#/search/detail/6089665
신도의 공동생활,"Bonhoeffer, Dietrich","서울 :대한기독교서회,2010(2014 6쇄)",230.044 디트리 v.6,https://library.cau.ac.kr/#/search/detail/6089664
행위와 존재 :조직신학 내에서 초월철학과 존재론,"Bonhoeffer, Dietrich","서울 :대한기독교서회,2010(2014 3쇄)",230.044 디트리 v.2,https://library.cau.ac.kr/#/search/detail/6089663
그리스도론,"Bonhoeffer, Dietrich","서울 :대한기독교서회,2010",230.044 디트리 v.4,https://library.cau.ac.kr/#/search/detail/6089662
윤리학,"Bonhoeffer, Dietrich","서울 :대한기독교서회,2010(2014 3쇄)",230.044 디트리 v.7,https://library.cau.ac.kr/#/search/detail/6089661
저항과 복종 :옥중서간,"Bonhoeffer, Dietrich","서울 :대한기독교서회,2010(2014 3쇄)",230.044 디트리 v.8,https://library.cau.ac.kr/#/search/detail/6089660
하루하루 기분 좋아져라 :페리의 감성생활 cartoon,정헌재,"서울 :넥서스Books :넥서스,2014",811.8 정헌재하,https://library.cau.ac.kr/#/search/detail/6084375
생애주기 영양학,이승교,"서울 :라이프사이언스,2013",613.2 이승교생,https://library.cau.ac.kr/#/search/detail/6084304
말들이 돌아오는 시간 :나희덕 시집,나희덕,"서울 :문학과지성사,2014(2015 7쇄)",811.108 문학과 v.442,https://library.cau.ac.kr/#/search/detail/6084229
알레산드로 멘디니 :일 벨 디자인 =Alessandro Mendini : Il Bel design,최경원,"서울 :미니멈,2013(2014 2쇄)",745.2092 M538최,https://library.cau.ac.kr/#/search/detail/6083424
세계경제의 메가트렌드에 주목하라 :월스트리트의 투자 귀재 짐 로저스의 미래투자 전략,"Rogers, Jim","고양 :이레미디어,2014",332.6 R727s이,https://library.cau.ac.kr/#/search/detail/6069120
울지 않는 아이,강국향직,"서울 :소담 :태일소담,2013",813.4 강국향읍김소,https://library.cau.ac.kr/#/search/detail/6069038
"역사 드라마로 읽는 성경 :신약편 :역사가 뚫린다, 성경이 보인다",류모세,"서울 :두란노 :두란노서원,2012-2013(2014 6쇄)",225 류모세역 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/6067382
자살론 :고통과 해석 사이에서,천정환,"파주 :문학동네,2013",362.28 천정환자,https://library.cau.ac.kr/#/search/detail/6064032
여고생의 치맛단 :김민서 장편소설,김민서,"서울 :Human & Books,2010(2011 6쇄)",811.3 김민서여,https://library.cau.ac.kr/#/search/detail/6023334
장은옥의 겟 잇 플라워 =Get it flower :플라워샵을 위한 플로랄 디자인,장은옥,"의정부 :수풀미디어,2013(2014 2쇄)",745.92 장은옥장수,https://library.cau.ac.kr/#/search/detail/6023205
운명론자 자크와 그의 주인,"Diderot, Denis","서울 :민음사,2013",808.8 세계문민 v.311,https://library.cau.ac.kr/#/search/detail/5996343
보바리 부인,"Flaubert, Gustave","서울 :펭귄클래식 코리아,2013(2015 2쇄)",843 F587m이펭,https://library.cau.ac.kr/#/search/detail/5989579
자유로서의 발전,"Sen, Amartya","서울 :갈라파고스,2013",338.9 S474d김,https://library.cau.ac.kr/#/search/detail/5989280
제6의 물결 :자원 한정 시대에 어떻게 성장할 것인가,"Moody, James Bradfield","서울 :한국경제신문,2013",338.927 M817s노,https://library.cau.ac.kr/#/search/detail/5989135
크로스파이어 :집착,"Day, Sylvia","파주 :북이십일 19.0,2013",823 D275e이 v.1/v.2,https://library.cau.ac.kr/#/search/detail/5959204
크로스파이어 :유혹,"Day, Sylvia","파주 :북이십일 19.0,2012(2013 2쇄)",823 D275b정 v.1/v.2,https://library.cau.ac.kr/#/search/detail/5959202
크로스파이어 :중독,"Day, Sylvia","파주 :북이십일 19.0,2013",823 D275r이 v.1/v.2,https://library.cau.ac.kr/#/search/detail/5959200
그 영화 같이 볼래요? :영화가 끝나고 시작되는 진짜 영화 이야기 시네마톡,김영진,"서울 :씨네21북스 :한겨레출판,2013(2014 3쇄)",791.43 김영진그,https://library.cau.ac.kr/#/search/detail/5958816
(1주 만에 끝내는) New OPIc actual test,"Lee, Dannielle G","서울 :시스컴,2013",428.0076 L477뉴,https://library.cau.ac.kr/#/search/detail/5958760
그 남자의 연애사 :한창훈 소설,한창훈,"파주 :문학동네,2013",811.3 한창훈그,https://library.cau.ac.kr/#/search/detail/5958534
(의학·보건학 연구를 위한) 범주형 자료분석,유근영,"서울 :한나래 :한나래아카데미,2012",null,https://library.cau.ac.kr/#/search/detail/5940346
(2014) 객관식 원가관리회계 =Cost & management accounting,김용남,"서울 :나무와사람,2013(2015 5쇄)",657.42076 김용남객 2014,https://library.cau.ac.kr/#/search/detail/5940332
산체스네 아이들 :빈곤의 문화와 어느 멕시코 가족에 관한 인류학적 르포르타주,"Lewis, Oscar","서울 :이매진,2013",306.850972 L675c박,https://library.cau.ac.kr/#/search/detail/5939198
음식 없이 나를 위로 하는 50가지 방법 :심리적 허기로 음식을 찾는 사람들을 위한 '자기진정법',"Albers, Susan","서울 :전나무숲,2013",616.8526 A332f서,https://library.cau.ac.kr/#/search/detail/5938384
